MRGID,ELEVCLASSMIN,ELEVCLASSMAX,deepsea_area,deepsea_area_km2,eez_v11_GEONAME,eez_v11_MRGID_TER1,eez_v11_POL_TYPE,eez_v11_MRGID_SOV1,eez_v11_TERRITORY1,eez_v11_ISO_TER1,eez_v11_SOVEREIGN1,eez_v11_MRGID_TER2,eez_v11_MRGID_SOV2,eez_v11_TERRITORY2,eez_v11_ISO_TER2,eez_v11_SOVEREIGN2,eez_v11_MRGID_TER3,eez_v11_MRGID_SOV3,eez_v11_TERRITORY3,eez_v11_ISO_TER3,eez_v11_SOVEREIGN3,eez_v11_X_1,eez_v11_Y_1,eez_v11_MRGID_EEZ,eez_v11_AREA_KM2,eez_v11_ISO_SOV1,eez_v11_ISO_SOV2,eez_v11_ISO_SOV3,eez_v11_UN_SOV1,eez_v11_UN_SOV2,eez_v11_UN_SOV3,eez_v11_UN_TER1,eez_v11_UN_TER2,eez_v11_UN_TER3
"5670",0.5,1.5,5814475830.89851,"5814",Albanian Exclusive Economic Zone,2153,200NM,2153,Albania,ALB,Albania,0,0,,,,0,0,,,,19.11300,40.92708,5670,12165,ALB,,,"8",,,"8",,
"5672",0.5,1.5,22808170495.7852,"22808",Bulgarian Exclusive Economic Zone,2174,200NM,2174,Bulgaria,BGR,Bulgaria,0,0,,,,0,0,,,,29.20165,42.93396,5672,34745,BGR,,,"100",,,"100",,
"5673",0.5,1.5,10866439331.6625,"10866",Croatian Exclusive Economic Zone,2160,200NM,2160,Croatia,HRV,Croatia,0,0,,,,0,0,,,,15.65218,43.43006,5673,55404,HRV,,,"191",,,"191",,
"5674",0.5,1.5,832222810.798872,"832",Danish Exclusive Economic Zone,2157,200NM,2157,Denmark,DNK,Denmark,0,0,,,,0,0,,,,9.24983,56.14213,5674,105021,DNK,,,"208",,,"208",,
"5675",0.5,1.5,3833523.40288693,"4",Estonian Exclusive Economic Zone,2110,200NM,2110,Estonia,EST,Estonia,0,0,,,,0,0,,,,23.00232,58.77012,5675,36451,EST,,,"233",,,"233",,
"5676",0.5,1.5,324700753.767366,"325",Finnish Exclusive Economic Zone,2106,200NM,2106,Finland,FIN,Finland,0,0,,,,0,0,,,,21.88919,61.75484,5676,81553,FIN,,,"246",,,"246",,
"5677",0.5,1.5,175549437039.314,"175549",French Exclusive Economic Zone,17,200NM,17,France,FRA,France,0,0,,,,0,0,,,,-1.96613,46.04212,5677,345240,FRA,,,"250",,,"250",,
"5678",0.5,1.5,20396527806.3418,"20397",Georgian Exclusive Economic Zone,2102,200NM,2102,Georgia,GEO,Georgia,0,0,,,,0,0,,,,40.56174,42.44625,5678,22944,GEO,,,"268",,,"268",,
"5679",0.5,1.5,413607783641.86,"413608",Greek Exclusive Economic Zone,2099,200NM,2099,Greece,GRC,Greece,0,0,,,,0,0,,,,23.93245,36.50714,5679,482910,GRC,,,"300",,,"300",,
"5680",0.5,1.5,650523710576.752,"650524",Icelandic Exclusive Economic Zone,2129,200NM,2129,Iceland,ISL,Iceland,0,0,,,,0,0,,,,-18.44845,64.69826,5680,763239,ISL,,,"352",,,"352",,
"5681",0.5,1.5,278095873373.896,"278096",Irish Exclusive Economic Zone,2114,200NM,2114,Ireland,IRL,Ireland,0,0,,,,0,0,,,,-11.74631,52.65269,5681,427039,IRL,,,"372",,,"372",,
"5682",0.5,1.5,422371879598.535,"422372",Italian Exclusive Economic Zone,2133,200NM,2133,Italy,ITA,Italy,0,0,,,,0,0,,,,12.92786,39.65467,5682,536654,ITA,,,"380",,,"380",,
"5683",0.5,1.5,921945731.171393,"922",Latvian Exclusive Economic Zone,2132,200NM,2132,Latvia,LVA,Latvia,0,0,,,,0,0,,,,21.35197,57.10433,5683,28353,LVA,,,"428",,,"428",,
"5685",0.5,1.5,45062332758.968,"45062",Maltese Exclusive Economic Zone,2217,200NM,2217,Malta,MLT,Malta,0,0,,,,0,0,,,,15.11121,35.31355,5685,52923,MLT,,,"470",,,"470",,
"5686",0.5,1.5,743583108685.287,"743583",Norwegian Exclusive Economic Zone,2252,200NM,2252,Norway,NOR,Norway,0,0,,,,0,0,,,,14.05714,68.18893,5686,933027,NOR,,,"578",,,"578",,
"5688",0.5,1.5,290653645294.306,"290654",Portuguese Exclusive Economic Zone,2243,200NM,2243,Portugal,PRT,Portugal,0,0,,,,0,0,,,,-10.92284,38.31921,5688,315501,PRT,,,"620",,,"620",,
"5689",0.5,1.5,6775483538.19907,"6775",Romanian Exclusive economic Zone,2241,200NM,2241,Romania,ROU,Romania,0,0,,,,0,0,,,,30.07850,44.24109,5689,29606,ROU,,,"642",,,"642",,
"5690",0.5,1.5,3549788905203.09,"3549789",Russian Exclusive economic Zone,2240,200NM,2240,Russia,RUS,Russia,0,0,,,,0,0,,,,93.55011,71.32490,5690,7734809,RUS,,,"643",,,"643",,
"5691",0.5,1.5,2809130758.85945,"2809",Montenegrin Exclusive economic Zone,17831,200NM,17831,Montenegro,MNE,Montenegro,0,0,,,,0,0,,,,18.68015,41.87023,5691,6383,MNE,,,"499",,,"499",,
