id_num,zone_name,zone_type,total_area,deepsea_area_km2,frac_deepsea,name_territory,name_sov,iso3_territory,iso3_sov
8444,American Samoa Exclusive Economic Zone,200NM,405830,405392.4362454256,0.9989218053012976,American Samoa,United States,ASM,USA
8379,Ascension Exclusive Economic Zone,200NM,446005,445912.0285177523,0.9997915460987036,Ascension,United Kingdom,SHN,GBR
8446,Cook Islands Exclusive Economic Zone,200NM,1969553,1969872.8294623108,1.0001623868270164,Cook Islands,New Zealand,COK,NZL
8389,Overlapping claim Falkland / Malvinas Islands: UK / Argentina,Overlapping claim,550566,373924.3458713479,0.6791635260283924,Falkland / Malvinas Islands,United Kingdom,FLK,GBR
8389,Overlapping claim Falkland / Malvinas Islands: UK / Argentina,Overlapping claim,550566,373924.3458713479,0.6791635260283924,Falkland / Malvinas Islands,Argentina,FLK,ARG
8440,French Polynesian Exclusive Economic Zone,200NM,4766689,4745864.27826957,0.9956311977285639,French Polynesia,France,PYF,FRA
8439,Pitcairn Islands Exclusive Economic Zone,200NM,842291,841946.3385122928,0.9995908047364781,Pitcairn,United Kingdom,PCN,GBR
8380,St. Helena Exclusive Economic Zone,200NM,449215,448585.073704855,0.9985977175847979,Saint Helena,United Kingdom,SHN,GBR
8445,Samoan Exclusive Economic Zone,200NM,130480,128663.06059072568,0.9860749585432685,Samoa,Samoa,WSM,WSM
8448,Tongan Exclusive Economic Zone,200NM,666052,657771.2664794029,0.9875674368959224,Tonga,Tonga,TON,TON
8382,Tristan Da Cunha Exclusive Economic Zone,200NM,758168,756855.7883190206,0.9982692336250285,Tristan da Cunha,United Kingdom,SHN,GBR
8465,Chilean Exclusive Economic Zone,200NM,2488052,2269855.611065293,0.9123023196722951,Chile,Chile,CHL,CHL
8447,Niue Exclusive Economic Zone,200NM,318140,318024.96317388344,0.9996384081658498,Niue,New Zealand,NIU,NZL
48961,Joint regime area Argentina / Uruguay,Joint regime,41414,0,0,Uruguay,Uruguay,URY,URY
48961,Joint regime area Argentina / Uruguay,Joint regime,41414,0,0,Argentina,Argentina,ARG,ARG
48962,Joint regime area Peru / Ecuador,Joint regime,16097,14318.077425546644,0.8894873222057926,Peru,Peru,PER,PER
48962,Joint regime area Peru / Ecuador,Joint regime,16097,14318.077425546644,0.8894873222057926,Ecuador,Ecuador,ECU,ECU
8467,Uruguayan Exclusive Economic Zone,200NM,143092,67742.36235296894,0.4734182368893365,Uruguay,Uruguay,URY,URY
8449,Tokelau Exclusive Economic Zone,200NM,320548,320531.60356787755,0.9999488487461395,Tokelau,New Zealand,TKL,NZL
8432,Peruvian Exclusive Economic Zone,200NM,854698,766703.5866561371,0.8970461925219635,Peru,Peru,PER,PER
22756,Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands),200NM,450960,450541.37421645573,0.9990717008525274,Islas San Félix and San Ambrosio,Chile,CHL,CHL
8450,Kiribati Exclusive Economic Zone (Phoenix Islands),200NM,745782,745308.0294747283,0.999364465051085,Phoenix Group,Kiribati,KIR,KIR
8466,Argentinean Exclusive Economic Zone,200NM,1072053,277281.5910622718,0.258645413111359,Argentina,Argentina,ARG,ARG
8386,Amsterdam Island & St. Paul Island Exclusive Economic Zone,200NM,512188,512051.99180163577,0.9997344564918268,Amsterdam and Saint Paul Islands,France,ATF,FRA
8309,Christmas Island Exclusive Economic Zone,200NM,327994,327946.0057724478,0.9998536734588066,Christmas Island,Australia,CXR,AUS
8308,Cocos Islands Exclusive Economic Zone,200NM,467440,467194.19150949316,0.9994741389472299,Cocos Islands,Australia,CCK,AUS
8334,Comoran Exclusive Economic Zone,200NM,164476,163193.6471552748,0.9922034044801358,Comores,Comores,COM,COM
8385,Crozet Islands Exclusive Economic Zone,200NM,575375,569749.1850329505,0.9902223506981542,Crozet Islands,France,ATF,FRA
48944,Overlapping claim Mayotte: France / Comoros,Overlapping claim,66738,65394.464408135704,0.9798685068197385,Mayotte,France,MYT,FRA
48944,Overlapping claim Mayotte: France / Comoros,Overlapping claim,66738,65394.464408135704,0.9798685068197385,Mayotte,Comores,MYT,COM
8388,Heard and McDonald Islands Exclusive Economic Zone,200NM,417321,413491.65973957337,0.9908239933757788,Heard and McDonald Islands,Australia,HMD,AUS
8387,Kerguelen Exclusive Economic Zone,200NM,550817,489095.4987602829,0.88794554046132,Kerguélen,France,ATF,FRA
8348,Madagascan Exclusive Economic Zone,200NM,1196285,1075207.7874280524,0.8987889904396129,Madagascar,Madagascar,MDG,MDG
8396,South African Exclusive Economic Zone,200NM,1072679,914068.0052751034,0.8521356391568246,South Africa,South Africa,ZAF,ZAF
8312,New Caledonian Exclusive Economic Zone,200NM,1175971,1128884.1136792356,0.9599591432775431,New Caledonia,France,NCL,FRA
8310,Norfolk Island Exclusive Economic Zone,200NM,430600,427606.2670097125,0.9930475313741582,Norfolk Island,Australia,NFK,AUS
